title,artist,year,medium,description,artist_bio,location,period,provenance,image_url,source_url
The Dancer,Uzo Ndubisi,1974,Pen and Ink on Paper,"The Dancer, Uzo Ndubisi attempts to explore his local Igbo heritage by abstractly depicting a young girl, who seems to be having a joyous moment alone dancing, and probably singing as well, on the road. One might guess she’s on her way home from an errand and is remising on some lovely folklore she’s learned as a child to keep her company and ease the stress of the journey. Her arms can be seen swinging in the air as her body moves, while her feet are in walking motion. The drawing is very symbolic for its embodiment of the Uli art technique of representation by the Igbo artists.","Uzochukwu Ndubisi was born in Zaria, Kaduna state in 1945. His training and education as an artist was “less formal” than that of the contemporaries of his time. He learned as an apprentice to Uche Okeke at the Mbari Art Centre, Enugu between 1963 and 1966; participated in the Eastern Nigeria art teachers' workshop, Enugu, 1964; and also attended the African Designs Development Centre, Ibadan, from 1970-1972. He built his reputation as a freelance artist/illustrator between the mid 60’s and 80’s working with various media and advertising agencies in Nigeria; hosting solo exhibitions and participating in numerous group exhibitions including ""Kunst und Kunsthandwerk aus Biafra,"" Bonn, Cologne, and Trier, Germany, 1969; FESTAC `77, Lagos, 1977; and the ""Silver Jubilee National Art Exhibition,"" National Theatre, Lagos, 1985 among others. Identifying with the Uli art tradition prevalent at the time, Uzo followed the part of his teacher and master, Prof. Uche Okeke. His drawings are symbolic for stylish expressionism and the representation using the common components of the Uli art philosophy. In the",Nigeria,Drawing,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_QoDt1HSI6O_2agdHcg3xe8gRZx50tOzOj81DoOMcojfaButv34jqolFGMGb0LzXPZ9YzQs=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/the-dancer/4wGuwa66FPSpyw
Hope,Aina Onabolu,1947,Oil on Board,"Hope, Aina Onabolu portrays a woman selling fruits in what might be a village market. She is sitting on a bench, under a shed alongside her covered basket which has some samples of the fruit she is selling displayed above the lid of the basket. The fruits look yellow like oranges and are displayed in fours in a typical fashion/arrangement one would normally see in the local markets. The act of selling fruits goes way back in time and is traditional in Nigeria, it is still very common among women of different ethnic groups all over the country today. Orange is a well cultivated and consumed commodity nationwide. Thus, selling it gives its traders plenty of “hope” and assurance of a sustainable income to alleviate their financial plights. Onabolu displays maturity in the choice and use of colours for effects. The blend of grey, rusty yellow, brown, and black colours used is really commendable.",In this painting titled,Nigeria,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_QbeJzN6HKtQniE5ItbEd_-F1wL45jnWt8Uwdsu3_NuWgjV2X9vqsHyfR8mU1LQwC-JAs2j=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/hope/xgGE9kBjyUSeWw
Observa,Segun Aiyesan,2019,Acrylic on textured wooden block,"Observa is a captivating portrait of a young African boy, where Aiyesan employs a rich palette of browns to celebrate the beauty of African skin. He uses white highlights to give the illusion of radiant, gleaming skin. The title, Observa, speaks to the boy’s intense, focused gaze, which draws the viewer in and prompts curiosity about what has caught his attention. Aiyesan skillfully conveys emotion through the boy’s eyes, transforming the artwork into a narrative that explores themes of identity, observation, and reflection within the African context.","Segun Aiyesan, born in 1971, is a prolific Port Harcourt-based painter who fell in love with art at an early age, driven by his fascination with nature and colors. A graduate of Obafemi Awolowo University, Ile Ife (1995), Aiyesan is regarded as one of Nigeria’s leading visual artists. His works reflect dedication, passion, and a mastery of various mediums, including pastels, watercolors, oils, and acrylics. More recently, he has delved into collage, adding a sculptural dimension to his already texturally rich paintings.",,Painting,Yemisi Shyllon Museum of Art,https://lh3.googleusercontent.com/ci/AL18g_TJVcarjNRCrZkjaC-DQ1ShFoTm4KA1cd7IhnJCBlMxBQ7U_gxZw4Z0Yoz_q1axx9yFzsiONh8,https://artsandculture.google.com/asset/observa/GAHfqAF0tZ5yRw
African Elegance,Kolade Oshinowo,2007,Oil on Canvas,"African Elegance is a portrait of a young lady in side view. Her hair is styled in cornrows. The neck is portrayed long and slender. The rays of light around her facial features highlight these features in turn and gives them a profound look. Shapes and patterns can be seen portrayed on the background of the painting. The painting's colour palette is majorly brown with some red, warm blue and yellow ochre highlights. Her outlook and expression is filled with beauty, simplicity, grace and humility typical of a young, elegant African woman. In all the painting is a celebration of the African woman.","Kolade Adekunle Oshinowo is a well-respected contemporary Nigerian painter and teacher born in Ibadan in 1948. He obtained a Bachelor of Arts in Fine Arts from Ahmadu Bello University, Zaria in 1972, majoring in painting. He was a teacher at King’s College, Lagos (1972-74). In 1973, he started lecturing part-time at the Yaba College of Technology (YABATECH), Lagos, at the persuasion of Yusuf Grillo who assigned him to take a weekly class on pictorial composition. Eventually he joined the institution full time in 1974 and would spend the next 35 years there in service, teaching and inspiring generations of talent to become great artists. From 1990, he was the chief lecturer and director, School of Art, Design & Printing, YABATECH. Oshinowo is very passionate about his profession as an artist and believes in the unique role of art for a better society. He would instill these ideals and values upon his students making them see their profession beyond illustrations, drawing, painting and sculpting. As a prolific painter he loves exploring themes on urban life, events/activities in his surroundings and everyday life in the larger society. He is also famous for portraiture and has executed numerous portraits of famous Nigerians as private commissions. Women are also a central theme in his paintings.","Lagos, Nigeria",Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_Sb15Qn-O5f1Pa_kNl1_r7c9Ow78HpP1jzfg2FCHGraVyMe5PwTLmtfY-uuSapl2V56Qs8u=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/african-elegance/AgFYKCzgEs_euA
Ijo (Africa Dances),Ben Enwonwu,1957,Oil on Paper,,"Ben Enwonwu between the 1940's and 1960's in his quest to explore and demonstrate his own views on the state of modern Nigerian culture at the time, using symbolic imagery in scenes of dance, and ritual performance from his Onitsha-Igbo heritage and other cultures in the country as well. The painting shows the dance performance of an Ijo Masquerade of the Ijaw people of the Niger River, southern Nigeria.",Nigeria,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_RGObxBA0JGIx3VJ7AlMrblBNBF6smXiX_ReKxTudKgOU_EW9503WcjKN6mF7_2umyIaFAFPM4=x0-y0-z0-nt0PytyEPWCi7eimsEHewNmdWq9PN0,https://artsandculture.google.com/asset/ijo-africa-dances/SgF8WsrKUelBQA
Nigerian Woman,Ben Osawe,1982,Bronze,"Nigerian Woman. This very inviting portrait is unique in every sense with its extraordinary details. The smooth texture, contours and overall structure embody his authorial identity as an artist. Symbolic in its own rights, the portrait is filled with different qualities that are synonymous with the Nigerian, African woman including beauty, elegance, confidence, simplicity, courage, humility, resilience, strength and boldness. Bringing these attributes to life in a piece of art is an ability that is very remarkable.","Born 1931 in Agbor, Delta state Benson G. Osawe was a post-war contemporary drawer and sculptor who was prominent in the use of different media including wood, cement and bronze. He was a native of Benin City. His father was a carver at the royal court of the then Oba of Benin Kingdom, Oba Eweka II. This sparked his early enthusiasm and interest in sculpting as a child. Under the tutelage of his father, he gained his first informal exposure to this age old artistic technique that was symbolic in the art tradition of his hometown. He went on to study at the School of Graphic Art, London (1956-59) and the Camberwell School of Art and Crafts, London (1960-65), specializing in sculpture. He returned to Nigeria in 1965 after his studies in the UK and shared a studio with Felix Idubor in Lagos. He eventually settled in his hometown where he practiced as a freelance artist from 1976. In the course of his illustrious career, Ben created numerous sculptures in bronze and wood, many of them exploring themes of African women and the African heritage and ideals. His works were widely exhibited at home and abroad. Ben Osawe makes a brilliant attempt to realism in this stylistic expression of the",Benin,Sculpture,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_Q3AixxJ1UyeqXmSUc52E0E-JFdrB81PJN_Sxu2C7qvQsBHnw9xG660eAGoAgvq_Prc3E8LTio=x0-y0-z0-nt0K_W48LSCdX4XYndWIbjUK_MQEH8,https://artsandculture.google.com/asset/nigerian-woman/qQFZzc-gAC4KCA
Tortoise,Twin Seven Seven,,,"Tortoise and the Drum. One tortoise beats a drum, causing food to fall from a tree with face-like fruits, while another tortoise collects it, portraying themes of trickery and greed. The piece invites reflection on the duality of wisdom and deception.","Omoba Taiwo Olaniyi Oyewale-Toyeje Oyelale Osuntoki, widely known as Twins Seven Seven, was a renowned Nigerian dancer, musician, and artist born in 1944 in Kogi State. His unique artistic style, deeply influenced by Yoruba mythology, explored themes of duality and transformation. Despite facing personal challenges, including financial difficulties in the U.S. and a severe accident, he gained recognition and numerous accolades, such as being named a UNESCO Artist for Peace. Twins Seven Seven passed away in 2011 at the age of 67, leaving behind a rich artistic legacy. As the sole survivor of seven sets of twins born to his mother, he adopted the name ""Twins Seven Seven"" to honor his family's journey and legacy. In this 2-dimensional artwork, Twins Seven Seven depicts a clear separation between the spiritual and physical realms. The figures were carved from wood and detailed with layered paints. The physical realm shows humans, armed for war around a king. In contrast, the spiritual realm features tortoises, symbolizing deceit and greed, escaping punishment to continue their cunning ways. Drawing from Yoruba folktales, the tortoises, known as ""Ijapa"" or ""Akuko,"" engage in a scene reminiscent of The",,Painting,,"https://lh3.googleusercontent.com/ci/AL18g_QbeJzN6HKtQniE5ItbEd_-F1wL45jnWt8Uwdsu3_NuWgjV2X9vqsHyfR8mU1LQwC-JAs2j=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/tortoise/NgGS6ktDxae7EA
The Sketch,Simon Okeke,1968,Ink on Paper,"The Sketch is a drawing of a mother embracing and cuddling her child in her arms. The child seems to be sitting on the laps of her kneeling mother. Simon Okeke uses the uli style of representation to explore, as a theme, the unique bond between an African mother and her child, the tenderness and warmth normally found between both characters. Staring at the piece one might guess that both parties are in a joyful mood having looked for each other for a while.","Simon Obiekezie Okeke was a modern Nigerian painter and sculptor born in Igbo-Ukwu, Anambra state in 1937. He obtained a Diploma in Fine Arts from the Nigerian College of Arts, Science and Technology (NCAST), Zaria in 1960 and was a founding member of the Zaria Art Society. He received further training at the British Museum, London, from 1961-1962. He also traveled and toured museums across Europe and America; was a curator at the National Museum, Lagos; served as a part-time lecturer at the Yaba College of Technology, Lagos; and was also commissioned to design postage stamps and currency notes for the Government of the erstwhile Republic of Biafra in the 60s. His paintings explored themes on his Igbo culture and the African heritage in general, are held in private and public collections at home and abroad and have been widely exhibited since his death. He was also a founding member of the Society of Nigerian Artists (SNA).",Nigeria,Drawing,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_RsFUEsxarej0kJmo1BcsrdMZSzTIo9c-q1s2A8cx7fr9dP4AnpZ92sJr9lXOEg0EpbTKSbHv0j=x1-y1-z1-nt0_qNRXAmLflz2seJduyEG8ptEFH0,https://artsandculture.google.com/asset/the-sketch/UgHe4JvQhGitFQ
Glimpse of Glory,Olaku Abiodun,1989,Oil on Canvas,"Glimpse of Glory is a tribute to famous Nigerian footballer, Samuel Sochukwuma Okwaraji, who died in active service to the nation during a world cup qualifier at the National Stadium, Surulere, Lagos on the 12th of August, 1989. Before he died he represented famous football clubs in Europe including AS Roma, VFB Stuttgart, Dinamo Zagreb among others. Sam Okwaraji, as he was famously called, was a true patriot who demonstrated true professionalism, team spirit, discipline and leadership on and off the pitch. This tribute reminds viewers of the sad demise of a patriotic hero, a source of national pride and inspiration to many.","Abiodun Olawale Olaku is a contemporary Nigerian painter born in Lagos in 1958. He obtained an Ordinary National Diploma (OND) and a Higher National Diploma (HND) from the prestigious Yaba College of Technology in 1979 and 1981 respectively, majoring in painting. Over the years, Abiodun has established himself as one Nigeria’s most accomplished oil painters due to his very detailed, naturalistic expression of landscapes and Nigerian cities. His style shows meticulous attention to detail that draws every viewer closer to their imagination in reality than ever. This has endeared him to the hearts of many at home and abroad and has made him a highly sought after artist by collectors. Abiodun has participated in numerous exhibitions in Nigeria including "". . . From Our Minds,"" Goethe Institute, Lagos, 1988 and ""For Art's Sake,"" Soviet Cultural Centre, Lagos, 1989 among many others. He is a member of the Society of Nigerian Artist (SNA).","Lagos, Nigeria",Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_QbeJzN6HKtQniE5ItbEd_-F1wL45jnWt8Uwdsu3_NuWgjV2X9vqsHyfR8mU1LQwC-JAs2j=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/glimpse-of-glory/rgELC2b9-PKucw
Two African Beauties,Moyo Ogundipe,2009,Acrylic on Canvas,Two African Beauties portrays two African twin sisters who are uniformly dressed to the nine for a party in their traditional attire. The act of twins dressing uniformly at all times and staying together is quite common in some cultures in the continent. They both look elegant and confident in their appearance.,Moyo Ogundipe attempts to portray the elegance and grace in the traditional African woman.,Nigeria,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_QbeJzN6HKtQniE5ItbEd_-F1wL45jnWt8Uwdsu3_NuWgjV2X9vqsHyfR8mU1LQwC-JAs2j=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/two-african-beauties/NAHiQHz76_M1tA
Ife Royal Head,Unknown,,Bronze,"In Nigeria, between the 11 th and 15 th century CE, the ancient African city “Ife” (Ile-Ife) flourished. Ife is located along the Guinea Coast of Southern West Africa and had trade connections with other West African Kingdoms. The people were Yoruba, and Ife art is a celebration on their culture. According to historical stories, Ife is the centre of the world. The first ruler of Ife, “Oni of Ife” meaning King of Ife, was called Oduduwa or Odua and he was the eldest of gods descendants from heaven. He sent out his sixteen sons with beaded crowns to rule kingdoms of their own. One of the most important historical events in ancient Ife was the civil war between the supporters of Obatala and those of Oduduwa which erupted in the reign of Ife’s 46 th king. The effects of this civil war left Ife vulnerable and has made it difficult to correctly align Ife’s history. Ife art was brought to the attention in 1910 when Leo Frobenius, a German ethnographer, discovered bronze and terracotta heads at Ife. The discovery changed people’s perception of African Art, but Frobenius had a misconception about its origin. With great disbelief that they were made by an African, Frobenius maintained a theory that it was from the lost city of Atlantis, an ancient mythical Greek colony. The discovery of a figure of the Oni of Ife in 1957 challenged the credibility of Frobenius theory. In Yoruba Philosophy, the head is seen as the shell that houses the essence of an individual. It is, therefore, usually depicted bigger than the rest of the body in sculptural representations. Therefore, it is certain that the art of Ife was done by persons who understand this philosophy. Ife art then must have been made by the Yorùbás for the Yorùbás. In 1938, thirteen bronze heads of approximately life-size were found in the compound of Wunmonije (a previous Oni of Ife) which was close to the back door of the palace. The Oni of Ife, Sir Adesoji Aderemi was keen on keeping these emblems of their culture and preserve ancient Ife art. Ife heads, though naturalistic, have some stylizations; the eyes are arched at the sides and have no brows, the lips are depicted slightly apart and the overall look of the face exudes peace and serenity. Most of the Ife heads depicts individuals who lived in the era of the Ife king Obalufon II. The king was a chief patron of the arts which is reinforced with his modern-day identity as patron of bronze casting, textiles, regalia, peace and wellbeing. Although copper is a difficult metal to work with, the Ife artists through their ingenuity, used it in producing their artworks. They also used terracotta, stone, quartz, copper and brass for sculpting. Most of the Ife heads were made using the lost- wax process from the 11 th to 15 th century CE. The use of this method requires great knowledge of the different mediums in use which include clay, bronze or brass and the various temperatures conducive for each medium at different points in casting. Ife art is believed to have influenced Benin art because early Benin art shows an inkling to realism like Ife art. Today, Ife art is not practiced as it was in the past but some of its shrines and groves still exist. Rituals to these gods are still performed by existing traditionalists. It remains an important site of religious and spiritual activities of the Yoruba people.",,"Ile-Ife, Nigeria",Sculpture,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_TuleYNlQLNvxq5o4qIlBgLeoPS8JZJulYFsN0Wvo1_12Upt1hhXJs_qs4xO2UHloWUjz25Xg=x0-y0-z0-nt0s_tGA8_BinT_Mq1lqr038GdJFRU,https://artsandculture.google.com/asset/ife-royal-head/qAFtD_3ux7My_g
Invisible Hands exhibition poster,,,,"bottom: Clara Etso Ugbodaga-Ngu, Chief Constance Afiong ‘Afi’ Ekong, Ladi Kwali). The intersection of art and culture has become the breeding ground for conversations that shape our culture in Nigeria. In an age where the information lies at our fingertips, accessibility to the contributions of women in society is more apparent, however, this has not always been the case. We ask ourselves, “in an era where the Zaria Rebels were making their mark, where were their female colleagues? Where are they now?” The ratio of male to female established artists in Nigeria continues to be strongly imbalanced, in favour of men. The Yemisi Shyllon Museum of Art (YSMA), of the Pan-Atlantic University (PAU), wants to address this disproportion through an extensive art exhibition at the museum. The highly anticipated showcasing titled The Invincible Hands curated by Olufisayo Bakare focuses on the contributions of 40 female artists whose works include a combination of paintings, photography, tapestry and textiles, sculpture, and mixed media art. Over 100 artworks will be on display, covering different periods and artistic media. They are curated from the permanent collection of the YSMA and from temporary loans by artists and collectors. In presenting these works, we highlight artistic achievements that transcend stereotyped and reductive achievements of Nigerian women in art. The goal of this exhibition is to celebrate the influence of marginalized female Nigerian artists in the post-colonial and contemporary eras, amplify their work and bridge inequality gaps in the art sector by placing The Invincible Hands of female artists back into our art education and art history. It aims at being an active agent in giving these artists higher visibility. Following the ‘Museum Opening of the Year Award’ in 2020, despite the lockdown constraints caused by the global pandemic, it is with an immense sense of gratitude that we look forward to welcoming you to our campus and museum facility in the near future. As work earnestly to complete plans for the upcoming exhibition, YSMA celebrates our community members for their unwavering support, expressing our gratitude to the sponsors, exhibiting artists, patrons, advisory board, and supervisory council. The exhibition is made possible thanks to the generous support given by Kayode Adegbola, Tola Adesanmi, Demi Adewumi and Lakunle Runsewe. As plans continue in earnest, further details of the exhibition to be disclosed shortly. About the Guest Curator Olufisayo Bakare finds a rare balance between simplicity and African artistry in her work. Her keen interest in carving the phenomenal out of the familiar has inspired her curatorial practice by establishing her as an ally in the preservation, documentation, and representation of African culture. She diligently curates the works of indigenous and Pan-African artists and maker-communities by recognizing and challenging some of the most poignant topics in the arts and culture ecosystem. In line with connecting varied dialogues through an exchange of ideas, Olufisayo reassesses histories and their underpinned symbology. Her passion for travel, anthropology, and culture has given her a platform to curate exhibitions, document societal experiences, and actualize site-specific installations within the creative sector and art world.",,"Lagos, Nigeria",,,https://lh3.googleusercontent.com/ci/AL18g_QbwN_sGMESJ41JMgjP2ki_AITH3odEzCTGzAZOpMyGlEZIE5yXrcGNRpnkESXgr9Nm6oxhq38=x0-y0-z0-nt0ucT_loDtu2Lw0iUE_ZWdQt_dmrc,https://artsandculture.google.com/asset/invisible-hands-exhibition-poster/cwFAsJrPyg_n7w
Engrossed (I),Nyemike Onwuka,2011,Oil on canvas,Engrossed (I) shows a smiling woman who appears to be consumed with the thoughts of love and happiness and can't help her feelings.,"Nyemike Onwuka's style draws inspiration from the deep connection between beauty and decomposition and his passion for storytelling and communication of human feelings. Women feature prominently in most series of his works. His use of light, shade and rustic colours endow his paintings with strong narrative elements.",Nigeria,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_S-uCICgOcNJc1hh5fxodYHnN6QMXWaba2Vw6VyltWI47B17pb0NFdtQL8inSkditeJIZ4WDAw=x0-y0-z0-nt0lsm1grjqyK_fFplsQ7e7ZzuwkMk,https://artsandculture.google.com/asset/engrossed-i/awHJecZJIepg8g
Untitled,Tayo Olayode,2012,Acrylic on Canvas,,"Tayo Olayode is one of Nigeria’s most exciting experimental artists. He graduated from Ahmadu Bello University in 1998 with a Bachelor’s degree in Fine Art, specializing in painting. His artistic oeuvre includes paintings, sculptures, tapestries, and large-scale public sculptures in Nigeria, utilizing diverse media like rubber slippers, charcoal, and metals. Olayode’s work emphasizes texture, line, and color, spanning abstraction, realism, and surrealism. In this piece, we see stick figures performing acrobatic stunts, moving in various directions. Beneath them, smaller figures carry calabashes and drums. The vibrant color palette includes red, yellow, white, and predominantly green. One of the larger figures wears a mask, suggesting this is a festival scene with masquerades performing.",,Painting,Yemisi Shyllon Museum of Art,"https://lh3.googleusercontent.com/ci/AL18g_Sb15Qn-O5f1Pa_kNl1_r7c9Ow78HpP1jzfg2FCHGraVyMe5PwTLmtfY-uuSapl2V56Qs8u=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/untitled/7QFXVr8BfByQVA
Ben Enwonwu,Ben Enwonwu Foundation (BEF),,,"Ben Enwonwu. A photograph of Ben Enwonwu (1917-1994) working on a bronze sculpture in his studio. Enwonwu was a pioneer of African modernism and is arguably regarded as the most influential African artist of the 20th century. He was a painter and sculptor. As a pioneer of African modernism, he engaged with the international art world, studying modern European art movements such as Symbolism and Fauvism. Upon his return to Nigeria in 1948, he was appointed Artist Adviser to the Federal Government. In the 1950's, Enwonwu was celebrated as ""Africa's Greatest Artist"" by the international media. He won numerous accolades including an MBE by Queen Elizabeth II in 1955 and a royal commission for a large bronze statue of the Queen displayed at the entrance of the Parliament Buildings in Lagos.","Recognising the Giant Strides of African Art Icon,",Nigeria,Photograph,© Ben Enwonwu Foundation,https://lh3.googleusercontent.com/ci/AL18g_R28xO4yVHhDDvjnO6QRbbkuXzqcKy397VZwk-C7PxC-Pc27zOrMmHtcSOPK_4vsdso2JgSEw=x0-y0-z0-nt0ZJbFU5M9JCb9l0NrlkWUPs5WMbI,https://artsandculture.google.com/asset/ben-enwonwu/rwFJe1eKjNgrIw
City in a Storm,Gani Odutokun,1993,Acrylic on Canvas,"City in a Storm, Gani attempts to abstractly portray a city ravaged by a storm. His style of rendition characterized by free flowing paints creating different structures and patterns all over his canvas is very apparent. One can feel the sweeping, hazardous impact of the heavy storm in the setting portrayed. The choice of dull, dark colours was spot on for the concept he imagined.","Adul Ganiyu Odutokun was a Nigerian painter, muralist, graphic artist, sculptor and teacher born in Ghana in 1946. He lived in Ghana until he was 19 years of age before relocating to his home country. He enrolled in Ahmadu Bello University, Zaria, where he obtained a BA (First Class Honours) in Fine Arts, with a major in Painting, in 1975 and a MA in Fine Art in 1979. He became a lecturer with the Department of Fine Arts at the university in 1976 and would lecture there till his death in 1995. Gani was a member of the Zaria Art Society which was founded at the university. As an artist he loved contradictions. Central to his artistic philosophy was the idea that human existence was filled with a continuum of events resulting from both fate and luck. As a result, he preferred to make his paints very fluid and flowing on his canvas, each one finding its direction and creating its own structures and patterns. He would then add finishing touches to his forms to bring his concepts to life. As a renowned and passionate teacher, Gani left an indelible mark upon every student he taught during his time. His influence as an educator was remarkable and he is remembered by all who admired him till today. In 2018, due to his immense contribution to the practice and teaching of visual art in Nigeria, Gani was posthumously inducted into the Hall of Fame of the Society of Nigerian Artists for his distinguished service to the society and the nation. In",Nigeria,Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University","https://lh3.googleusercontent.com/ci/AL18g_QbeJzN6HKtQniE5ItbEd_-F1wL45jnWt8Uwdsu3_NuWgjV2X9vqsHyfR8mU1LQwC-JAs2j=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/city-in-a-storm/ZQHOU6dOFGG_Qg
House Post (Mother of Triplets),Lamidi Fakeye,2007,Wood,,"Lamidi Fakeye was from a lineage of wood carvers famously known as the ""Fakeye Woodcarving Dynasty"". He started carving under the tutelage of his father at the age of ten and, in 1949, began his apprenticeship with the master sculptor George Bamidele Arowogun at the Oye-Ekiti Workshop. In 1955, he worked as an art Instructor at Holy Cross Primary School, Lagos. Known for his expert skill in handling wood, he commonly depicts Yoruba myths and tradition in his works. In this piece, the artist depicts mythic figures on a house post. Starting from the bottom, a mother and child appear to be riding a horse. The mother carries a stool on her head which has details of two faces and some patterned lines. On this stool sits another mother with two children on her lap and they both hold a hand fan. This mother in turn carries a calabash on her head and its cover has the head of a child on its lid.",Nigeria,Sculpture,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_QlD3ikecxoQ9fa3puVh_mPjXjuIw_xbUzmLo-SeSNXMYNsHhBgsHtHU-ELsTl6APQfT79Xog=x0-y0-z0-nt0Ugt6L7owQI5cbNIPzXRNFth2khM,https://artsandculture.google.com/asset/house-post-mother-of-triplets/lwH0nFoX-d8hUw
Culture Lust,Kelechi Nwaneri,2018,Mixed media,,,"Lagos, Nigeria",Painting,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_QZc0npPRbGftJl8lVatS1skZGKAqqvMjRXqaQQtnX1KUjU1OQxunQ9YBrFCxio9JDKyiecfyA=x0-y0-z0-nt0go2K118zJx3fLozLb_EgtzfAbB8,https://artsandculture.google.com/asset/culture-lust/wgH9SYX-6Q8i_Q
Untitled 2,Mauryn,1969,Oil on Canvas,"Untitled 2, three women are sprawled on the ground in relaxed conversation. Their black figures, highlighted with white, are set against an earthy yellow, red, and green background. The composition suggests camaraderie and casualness, as the women appear to be enjoying each other's company.",In,,Painting,Yemisi Shyllon Museum of Art,"https://lh3.googleusercontent.com/ci/AL18g_QbeJzN6HKtQniE5ItbEd_-F1wL45jnWt8Uwdsu3_NuWgjV2X9vqsHyfR8mU1LQwC-JAs2j=fcrop64=1,054004edfa10f753",https://artsandculture.google.com/asset/untitled-2/7gGFmcQt-3AwQA
Sisi Eko,El Anatsui,1990,Wood,"Sisi Eko means Lagos lady. In this piece, he depicts a Lagos lady who is always trendy, classy and fashionable. It is a loose pile-up of linearly designed organic and geometrically formed wooden blocks/panels. Hanging on one of its blocks is an irregularly shaped wooden block with a rope which connotes the lady's handbag. One could infer El was attempting to abstractly depict of a classy lagosian lady who loves to put her bag on her shoulder always and seeks to be treated with care and respect as she displays her elegance. Through its non-permanent nature, El gives it's curator the possibility of re-arrangement due to the rotary nature of the panels of the sculpture.","Born in 1944 in Anyako in Ghana's Volta region, El Anatsui attended Kwame Nkrumah University of Science and Technology (KNUST), Kumasi, Ghana. In 1975, he moved to Nigeria to pursue a career as lecturer in the Department of Fine and Applied Arts, University of Nigeria, Nsukka. Here he met other like minds and his career flourished. He has explored a range of art media such as wood sculptures and wall reliefs. Today El is popular for his bottle cap installation pieces which have become dominant in African art history and beyond. His art has become global as Much as it is African. The term","Nsukka, Nigeria",Sculpture,"Yemisi Shyllon Museum of Art, Pan-Atlantic University",https://lh3.googleusercontent.com/ci/AL18g_Rx5nqE0_lrKh_1zPsvK0K5YcLZmRas1hc4ASdJU5wr8qyMj8CUW0kRmjZuvfrDskHY3SABLE8=x0-y0-z0-nt0spBJMe6Vxhb872QfkFQMcPpObls,https://artsandculture.google.com/asset/sisi-eko/9AFv4c_mAoTozA
First Live Sketch of H.M Queen Elizabeth II,Ben Enwonwu,1958,Gouache and Pastel,,"Ben Enwonwu received the greatest portrait commission of his career as an artist. The famous life-size bronze portrait of Her Royal Majesty Queen Elizabeth II of England was conceived by the queen herself to commemorate her visit to Nigeria the same year and also celebrate the relationship between Nigeria and Britain. Enwonwu was the first African artist to receive such a royal commission from the British Monarch, giving him a bigger global recognition. According to the West African Review, “the news that Her Majesty the Queen is to give sittings to the Nigerian sculptor, Mr. Ben Enwonwu, sets the royal seal on the renown of West Africa’s most famous artist.” Execution of the portrait commenced in 1957. The queen was recorded to have sat 12 times for the preliminary sketches that would finally be developed into the sculpture. Enwonwu was well known for forming his sculptures clearly and meticulously (as sketches) before execution which was a secondary activity to him. Concept and vision were very central to him in his productions. This painting is a copy developed in 1958 from the first live sketch of the Queen.",,,,https://lh3.googleusercontent.com/ci/AL18g_Q1Xer2x_9HNx6tLRSryEtRfhsY3kUY2nk5O9vatKFTjG-dBisnHyxMITgv166_ytAGrSk09nQ=x0-y0-z0-nt0jS_4bLEB67LXkqKCoLh_oKVIR1k,https://artsandculture.google.com/asset/first-live-sketch-of-h-m-queen-elizabeth-ii/EAFsryr1S5pb2g
